name,runs1,runs2,runs3,runs4,total_runs,outs_1,singles_1,doubles_1,triples_1,homeruns_1,total_at_bats1,outs_2,singles_2,doubles_2,triples_2,homeruns_2,total_at_bats2,outs_3,singles_3,doubles_3,triples_3,homeruns_3,total_at_bats3,outs_4,singles_4,doubles_4,triples_4,homeruns_4,total_at_bats4,total_at_bats,total_homeruns,total_outs
Mirandaville Mallards,2,0,6,1,9,3.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Motown Mosquedas,3,2,2,0,7,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natesville Narwhals,0,0,1,3,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0
Pearsonville Felines,3,0,0,0,3,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reynoldstown Wrappers,8,10,6,13,37,3.0,2.0,3.0,2.0,3.0,13.0,0.0,1.0,1.0,4.0,5.0,11.0,4.0,1.0,5.0,1.0,1.0,12.0,5.0,5.0,3.0,5.0,3.0,21.0,57.0,12.0,12.0
Rylanta Falcons,2,4,10,2,18,3.0,0.0,2.0,1.0,0.0,6.0,1.0,2.0,1.0,2.0,0.0,6.0,1.0,3.0,4.0,1.0,3.0,12.0,2.0,2.0,1.0,1.0,0.0,6.0,30.0,3.0,7.0
Rosieville Riveters,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudsville Swimmers,0,5,7,6,18,3.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,1.0,6.0,3.0,2.0,4.0,1.0,2.0,12.0,0.0,1.0,4.0,0.0,2.0,7.0,30.0,5.0,6.0
Timtown Trekkers,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victorville Vicars,0,7,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellsville Kakuros,1,1,5,0,7,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Worthenton Originals,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
